file_name,zip_entry_name,size,file_offset
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BH,507,94450455
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BI,339,94451075
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BJ,379,94451527
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BL,364,94452019
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BM,625,94452496
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BN,355,94453233
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BO,664,94453699
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BQ,377,94454476
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BR,1601,94454965
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BS,881,94456677
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BT,595,94457669
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BW,767,94458375
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BY,1188,94459255
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_BZ,443,94460556
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CA,985,94461111
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CC,778,94462209
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CD,498,94463098
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CF,335,94463706
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CG,429,94464151
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CH,600,94464693
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CI,432,94465404
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CK,313,94465948
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CL,2025,94466373
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CM,423,94468509
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CN,7905,94469043
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CO,843,94477061
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CR,576,94478015
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CU,577,94478704
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CV,401,94479393
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CW,521,94479905
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CX,796,94480537
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CY,361,94481444
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_CZ,680,94481917
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_DE,3027,94482708
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_DJ,325,94485847
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_DK,372,94486285
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_DM,667,94486768
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_DO,921,94487547
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_DZ,612,94488581
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_EC,715,94489304
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_EE,996,94490131
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_EG,580,94491240
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_EH,358,94491932
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_ER,364,94492402
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_ES,775,94492876
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_ET,1045,94493763
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,com/google/android/libraries/phonenumbers/data/PhoneNumberMetadataProto_FI,1296,94494921
